T,C0,C1,T_ns,T_ps
640515000,65032,65770,0.640515,0.000640515
640525000,65033,65771,0.640525,0.000640525
640535000,65034,65772,0.640535,0.000640535
640545000,65035,65773,0.640545,0.000640545
640555000,65036,65774,0.640555,0.000640555
640565000,65037,65775,0.640565,0.000640565
640575000,65038,65776,0.640575,0.000640575
640585000,65039,65777,0.640585,0.000640585
640595000,65040,65778,0.640595,0.000640595
640605000,65041,65779,0.640605,0.000640605
640615000,65042,65780,0.640615,0.000640615
640625000,65043,65781,0.640625,0.000640625
640635000,65044,65782,0.640635,0.000640635
640645000,65045,65783,0.640645,0.000640645
640655000,65046,65784,0.640655,0.000640655
640665000,65047,65785,0.640665,0.000640665
640675000,65048,65786,0.640675,0.000640675
640685000,65049,65787,0.640685,0.000640685
640695000,65050,65788,0.640695,0.000640695
640705000,65051,65789,0.640705,0.000640705
640715000,65052,65790,0.640715,0.000640715
640725000,65053,65791,0.640725,0.000640725
640735000,65054,65792,0.640735,0.000640735
640745000,65055,65793,0.640745,0.000640745
640755000,65056,65794,0.640755,0.000640755
640765000,65057,65795,0.640765,0.000640765
640775000,65058,65796,0.640775,0.000640775
640785000,65059,65797,0.640785,0.000640785
640795000,65060,65798,0.640795,0.000640795
640805000,65061,65799,0.640805,0.000640805
640815000,65062,65800,0.640815,0.000640815
640825000,65063,65801,0.640825,0.000640825
640835000,65064,65802,0.640835,0.000640835
640845000,65065,65803,0.640845,0.000640845
640855000,65066,65804,0.640855,0.000640855
640865000,65067,65805,0.640865,0.000640865
640875000,65068,65806,0.640875,0.000640875
640885000,65069,65807,0.640885,0.000640885
640895000,65070,65808,0.640895,0.000640895
640905000,65071,65809,0.640905,0.000640905
640915000,65072,65810,0.640915,0.000640915
640925000,65073,65811,0.640925,0.000640925
640935000,65074,65812,0.640935,0.000640935
640945000,65075,65813,0.640945,0.000640945
640955000,65076,65814,0.640955,0.000640955
640965000,65077,65815,0.640965,0.000640965
640975000,65078,65816,0.640975,0.000640975
640985000,65079,65817,0.640985,0.000640985
640995000,65080,65818,0.640995,0.000640995
960005000,96981,97712,0.960005,0.000960005
960015000,96982,97713,0.960015,0.000960015
960025000,96983,97714,0.960025,0.000960025
960035000,96984,97715,0.960035,0.000960035
960045000,96985,97716,0.960045,0.000960045
960055000,96986,97717,0.960055,0.000960055
960065000,96987,97718,0.960065,0.000960065
960075000,96988,97719,0.960075,0.000960075
960085000,96989,97720,0.960085,0.000960085
960095000,96990,97721,0.960095,0.000960095
960105000,96991,97722,0.960105,0.000960105
960115000,96992,97723,0.960115,0.000960115
960125000,96993,97724,0.960125,0.000960125
960135000,96994,97725,0.960135,0.000960135
960145000,96995,97726,0.960145,0.000960145
960155000,96996,97727,0.960155,0.000960155
960165000,96997,97728,0.960165,0.000960165
960175000,96998,97729,0.960175,0.000960175
960185000,96999,97730,0.960185,0.000960185
960195000,97000,97731,0.960195,0.000960195
960205000,97001,97732,0.960205,0.000960205
960215000,97002,97733,0.960215,0.000960215
960225000,97003,97734,0.960225,0.000960225
960235000,97004,97735,0.960235,0.000960235
960245000,97005,97736,0.960245,0.000960245
960255000,97006,97737,0.960255,0.000960255
960265000,97007,97738,0.960265,0.000960265
960275000,97008,97739,0.960275,0.000960275
960285000,97009,97740,0.960285,0.000960285
960295000,97010,97741,0.960295,0.000960295
960305000,97011,97742,0.960305,0.000960305
960315000,97012,97743,0.960315,0.000960315
960325000,97013,97744,0.960325,0.000960325
960335000,97014,97745,0.960335,0.000960335
960345000,97015,97746,0.960345,0.000960345
960355000,97016,97747,0.960355,0.000960355
960365000,97017,97748,0.960365,0.000960365
960375000,97018,97749,0.960375,0.000960375
960385000,97019,97750,0.960385,0.000960385
960395000,97020,97751,0.960395,0.000960395
960405000,97021,97752,0.960405,0.000960405
960415000,97022,97753,0.960415,0.000960415
960425000,97023,97754,0.960425,0.000960425
960435000,97024,97755,0.960435,0.000960435
960445000,97025,97756,0.960445,0.000960445
960455000,97026,97757,0.960455,0.000960455
960465000,97027,97758,0.960465,0.000960465
960475000,97028,97759,0.960475,0.000960475
960485000,97029,97760,0.960485,0.000960485
960495000,97030,97761,0.960495,0.000960495
960505000,97031,97762,0.960505,0.000960505
960515000,97032,97763,0.960515,0.000960515
960525000,97033,97764,0.960525,0.000960525
960535000,97034,97765,0.960535,0.000960535
960545000,97035,97766,0.960545,0.000960545
960555000,97036,97767,0.960555,0.000960555
960565000,97037,97768,0.960565,0.000960565
960575000,97038,97769,0.960575,0.000960575
960585000,97039,97770,0.960585,0.000960585
960595000,97040,97771,0.960595,0.000960595
960605000,97041,97772,0.960605,0.000960605
960615000,97042,97773,0.960615,0.000960615
960625000,97043,97774,0.960625,0.000960625
960635000,97044,97775,0.960635,0.000960635
960645000,97045,97776,0.960645,0.000960645
960655000,97046,97777,0.960655,0.000960655
960665000,97047,97778,0.960665,0.000960665
960675000,97048,97779,0.960675,0.000960675
960685000,97049,97780,0.960685,0.000960685
960695000,97050,97781,0.960695,0.000960695
960705000,97051,97782,0.960705,0.000960705
960715000,97052,97783,0.960715,0.000960715
960725000,97053,97784,0.960725,0.000960725
960735000,97054,97785,0.960735,0.000960735
960745000,97055,97786,0.960745,0.000960745
960755000,97056,97787,0.960755,0.000960755
960765000,97057,97788,0.960765,0.000960765
960775000,97058,97789,0.960775,0.000960775
960785000,97059,97790,0.960785,0.000960785
960795000,97060,97791,0.960795,0.000960795
960805000,97061,97792,0.960805,0.000960805
960815000,97062,97793,0.960815,0.000960815
960825000,97063,97794,0.960825,0.000960825
960835000,97064,97795,0.960835,0.000960835
960845000,97065,97796,0.960845,0.000960845
960855000,97066,97797,0.960855,0.000960855
960865000,97067,97798,0.960865,0.000960865
960875000,97068,97799,0.960875,0.000960875
960885000,97069,97800,0.960885,0.000960885
960895000,97070,97801,0.960895,0.000960895
960905000,97071,97802,0.960905,0.000960905
960915000,97072,97803,0.960915,0.000960915
960925000,97073,97804,0.960925,0.000960925
960935000,97074,97805,0.960935,0.000960935
960945000,97075,97806,0.960945,0.000960945
960955000,97076,97807,0.960955,0.000960955
